ID,Restaurant,Address,Time,Price,District,Lowest_price,Highest_price,Average_price
1095,Thu Thảo - Cháo Dinh Dưỡng - Bình Tiên,"192 Bình Tiên, P. 4, Quận 6, TP. HCM",06:00 - 19:00,12.000 - 100.000,Quận 6,12000,100000,56000.0
1096,Phi Phi Quán - Cơm Gà Xối Mỡ,"161/7 Phạm Văn Chí, P. 3, Quận 6, TP. HCM",00:00 - 00:00,30.000 - 50.000,Quận 6,30000,50000,40000.0
1097,Tâm Quán - Bún Quậy Phú Quốc - Hậu Giang,"162B Hậu Giang, P. 6, Quận 6, TP. HCM",07:00 - 13:20 | 16:00 - 21:50,35.000 - 55.000,Quận 6,35000,55000,45000.0
1098,Nhà Bún Đậu - Bún Đậu Mắm Tôm Hà Nội - Phạm Văn Chí,"335 Phạm Văn Chí, P. 3, Quận 6, TP. HCM",00:00 - 00:00,23.000 - 71.000,Quận 6,23000,71000,47000.0
1099,Bò Né 3 Ngon - Hậu Giang,"14 Hậu Giang, P. 2, Quận 6, TP. HCM",07:00 - 22:00,25.000 - 45.000,Quận 6,25000,45000,35000.0
1100,Nhà Bún Đậu - Bún Đậu Mắm Tôm Hà Nội - Song Hành,"23 Song Hành, P. 10, Quận 6, TP. HCM",00:00 - 00:00,20.000 - 35.000,Quận 6,20000,35000,27500.0
1101,Bánh Mì Kebab - Nguyễn Văn Luông,"249A Nguyễn Văn Luông, Quận 6, TP. HCM",06:00 - 19:00,15.000 - 25.000,Quận 6,15000,25000,20000.0
1102,Nhà Bún Đậu - Bún Đậu Mắm Tôm Hà Nội - Đường Số 23,"131 Đường Số 23, P.11, Quận 6, TP. HCM",00:00 - 00:00,20.000 - 35.000,Quận 6,20000,35000,27500.0
1103,"3A Korean Food - Gà Sốt Phô Mai, Mì Cay Hàn Quốc & Tokbokki - Nguyễn Văn Luông","233A Nguyễn Văn Luông, P. 11, Quận 6, TP. HCM",00:00 - 00:00,40.000 - 130.000,Quận 6,40000,130000,85000.0
1104,Ốc Thiên Kim - Hậu Giang,"70A Hậu Giang, P. 6, Quận 6, TP. HCM",00:00 - 00:00,10.000 - 80.000,Quận 6,10000,80000,45000.0
